2014-09-05,FORTIS,NCLIND,SHRIRAMCIT,NHPC,HIKAL,PURVA,HIMATSEIDE,SUBROS,INGERRAND,CIPLA
2014-09-08,HIKAL,FORTIS,IDFC,NCLIND,NHPC,PURVA,INGERRAND,M&M,REDINGTON,IFBIND
2014-09-09,PURVA,INGERRAND,NHPC,M&M,MHRIL,VENKEYS,JSWENERGY,POONAWALLA,SUBROS,GREENPLY
2014-09-10,NCLIND,NHPC,INGERRAND,SHRIRAMCIT,VENKEYS,KALPATPOWR,AARTIIND,BIOCON,BAJAJFINSV,SUBROS
2014-09-11,SHRIRAMCIT,VENKEYS,FORTIS,NCLIND,MADRASFERT,NHPC,NAVINFLUOR,MHRIL,TIMETECHNO,BAJAJHIND
2014-09-12,FORTIS,NCLIND,SHRIRAMCIT,IFBIND,MHRIL,TIMETECHNO,REDINGTON,SBIN,MADRASFERT,GREENPLY
2014-09-15,SHRIRAMCIT,FORTIS,NCLIND,NAVINFLUOR,FIEMIND,KALPATPOWR,AARTIIND,REDINGTON,VTL,SEAMECLTD
2014-09-16,FORTIS,NCLIND,NAVINFLUOR,BAJAJHIND,REDINGTON,JSWENERGY,SHOPERSTOP,MIRZAINT,NHPC,MHRIL
2014-09-17,REDINGTON,MHRIL,NHPC,SUZLON,JSWENERGY,CHOLAFIN,HIKAL,GREENPLY,MADRASFERT,BIRLACORPN
2014-09-18,MHRIL,HIKAL,SHRIRAMCIT,FORTIS,GREENPLY,CHOLAFIN,FIEMIND,EVEREADY,AKZOINDIA,MOTILALOFS
2014-09-19,FIEMIND,SHRIRAMCIT,JKPAPER,CHOLAFIN,BIRLACORPN,HIKAL,JSWENERGY,AARTIIND,SHANTIGEAR,SUNDRMFAST
2014-09-22,JKPAPER,AKZOINDIA,BIRLACORPN,CHOLAFIN,GICHSGFIN,SHRIRAMCIT,GREENPLY,AMARAJABAT,FORTIS,EVEREADY
