2016-07-25,DRREDDY,BPCL,INDUSINDBK,ONGC,ICICIBANK,CIPLA
2016-07-26,INDUSINDBK,BPCL,WIPRO,HEROMOTOCO,TATACONSUM,APOLLOHOSP
2016-07-27,DRREDDY,TECHM,HDFC,INFY,ICICIBANK,WIPRO
2016-07-28,TATAMOTORS,ONGC,BRITANNIA,TECHM,DRREDDY,INDUSINDBK
2016-07-29,DRREDDY,BRITANNIA,HINDALCO,INDUSINDBK,NESTLEIND,SHREECEM
2016-08-01,DRREDDY,ICICIBANK,TECHM,INDUSINDBK,WIPRO,ITC
2016-08-02,TECHM,ICICIBANK,BPCL,ONGC,INDUSINDBK,KOTAKBANK
2016-08-03,ITC,ICICIBANK,TATASTEEL,INFY,UPL,APOLLOHOSP
2016-08-04,DRREDDY,WIPRO,INDUSINDBK,TITAN,APOLLOHOSP,HCLTECH
2016-08-05,WIPRO,INDUSINDBK,BRITANNIA,DRREDDY,NTPC,HCLTECH
2016-08-08,WIPRO,INDUSINDBK,HCLTECH,TATASTEEL,TCS,TECHM
2016-08-09,TITAN,WIPRO,INDUSINDBK,HCLTECH,HINDALCO,SUNPHARMA
2016-08-10,INDUSINDBK,HCLTECH,BAJAJ-AUTO,WIPRO,HEROMOTOCO,ASIANPAINT
2016-08-11,ICICIBANK,WIPRO,SUNPHARMA,INDUSINDBK,TATASTEEL,AXISBANK
2016-08-12,GRASIM,WIPRO,INDUSINDBK,BPCL,BHARTIARTL,ICICIBANK
2016-08-16,HCLTECH,TECHM,INDUSINDBK,WIPRO,HDFC,TATACONSUM
2016-08-17,HCLTECH,ASIANPAINT,SBIN,GRASIM,UPL,CIPLA
2016-08-18,LT,BAJAJ-AUTO,EICHERMOT,NTPC,APOLLOHOSP,INDUSINDBK
2016-08-19,HCLTECH,APOLLOHOSP,ASIANPAINT,TECHM,HEROMOTOCO,DRREDDY
2016-08-22,TATASTEEL,WIPRO,TECHM,HCLTECH,MARUTI,RELIANCE
2016-08-23,GRASIM,ONGC,ICICIBANK,BPCL,WIPRO,ULTRACEMCO
2016-08-24,APOLLOHOSP,GRASIM,ULTRACEMCO,TATASTEEL,ICICIBANK,LT
2016-08-25,ICICIBANK,APOLLOHOSP,GRASIM,BPCL,INDUSINDBK,HDFCBANK
2016-08-26,DIVISLAB,WIPRO,TECHM,INDUSINDBK,APOLLOHOSP,LT
2016-08-29,ADANIPORTS,SBIN,SUNPHARMA,WIPRO,SHREECEM,APOLLOHOSP
2016-08-30,WIPRO,TECHM,APOLLOHOSP,GRASIM,BPCL,HCLTECH
2016-08-31,ONGC,NESTLEIND,BPCL,ADANIPORTS,TATAMOTORS,LT
2016-09-01,SBIN,UPL,WIPRO,RELIANCE,DRREDDY,BPCL
2016-09-02,WIPRO,BPCL,SBIN,BAJAJ-AUTO,ADANIPORTS,ULTRACEMCO
2016-09-06,WIPRO,ULTRACEMCO,HCLTECH,BPCL,TATAMOTORS,NTPC
2016-09-07,BRITANNIA,BPCL,GRASIM,DIVISLAB,NESTLEIND,WIPRO
2016-09-08,WIPRO,INDUSINDBK,TECHM,HCLTECH,TATASTEEL,NESTLEIND
2016-09-09,AXISBANK,INFY,ULTRACEMCO,TATASTEEL,ICICIBANK,TATACONSUM
2016-09-12,ICICIBANK,SHREECEM,MARUTI,ONGC,TATACONSUM,DRREDDY
2016-09-14,HINDUNILVR,BPCL,ICICIBANK,TATASTEEL,APOLLOHOSP,NESTLEIND
2016-09-15,BPCL,TATASTEEL,HINDALCO,HINDUNILVR,WIPRO,APOLLOHOSP
2016-09-16,TATASTEEL,BPCL,DRREDDY,BAJAJ-AUTO,HINDUNILVR,HCLTECH
2016-09-19,INDUSINDBK,HINDUNILVR,TITAN,ICICIBANK,TATASTEEL,SUNPHARMA
2016-09-20,HINDUNILVR,BAJAJ-AUTO,INDUSINDBK,APOLLOHOSP,TATACONSUM,TITAN
2016-09-21,SBIN,TATACONSUM,SHREECEM,M&M,NESTLEIND,JSWSTEEL
2016-09-22,DRREDDY,SBIN,HDFC,BAJAJFINSV,NTPC,WIPRO
2016-09-23,BPCL,JSWSTEEL,TATASTEEL,GRASIM,POWERGRID,NTPC
2016-09-26,ICICIBANK,ITC,TATACONSUM,CIPLA,HEROMOTOCO,BPCL
2016-09-27,AXISBANK,HCLTECH,TECHM,SUNPHARMA,CIPLA,TITAN
2016-09-28,AXISBANK,SUNPHARMA,TATACONSUM,BPCL,EICHERMOT,BRITANNIA
2016-09-29,APOLLOHOSP,AXISBANK,WIPRO,DRREDDY,BPCL,BHARTIARTL
2016-09-30,AXISBANK,JSWSTEEL,TATACONSUM,ICICIBANK,APOLLOHOSP,BHARTIARTL
2016-10-03,AXISBANK,BPCL,ICICIBANK,TECHM,WIPRO,INDUSINDBK
2016-10-04,NTPC,BPCL,WIPRO,TATASTEEL,CIPLA,APOLLOHOSP
2016-10-05,BPCL,ASIANPAINT,TATASTEEL,DRREDDY,AXISBANK,WIPRO
2016-10-06,AXISBANK,APOLLOHOSP,DRREDDY,WIPRO,DIVISLAB,HEROMOTOCO
2016-10-07,AXISBANK,NTPC,APOLLOHOSP,TECHM,ICICIBANK,CIPLA
2016-10-10,HCLTECH,AXISBANK,TECHM,BPCL,APOLLOHOSP,DRREDDY
2016-10-13,AXISBANK,NTPC,BHARTIARTL,TATACONSUM,SUNPHARMA,ICICIBANK
2016-10-14,ICICIBANK,AXISBANK,SBIN,TATASTEEL,HCLTECH,HDFC
2016-10-17,AXISBANK,ULTRACEMCO,POWERGRID,DRREDDY,TATASTEEL,BPCL
2016-10-18,DIVISLAB,TECHM,AXISBANK,NTPC,ADANIPORTS,BPCL
2016-10-19,SBIN,NTPC,TATACONSUM,UPL,TATASTEEL,DRREDDY
2016-10-20,NTPC,ITC,HDFC,M&M,HCLTECH,BRITANNIA
2016-10-21,ULTRACEMCO,INDUSINDBK,NESTLEIND,APOLLOHOSP,JSWSTEEL,HDFC
2016-10-24,WIPRO,BRITANNIA,BPCL,INDUSINDBK,ITC,SUNPHARMA
2016-10-25,TATASTEEL,TCS,TATACONSUM,NTPC,ULTRACEMCO,BHARTIARTL
2016-10-26,UPL,ICICIBANK,TATACONSUM,SHREECEM,TCS,TITAN
2016-10-27,AXISBANK,TATAMOTORS,BPCL,BHARTIARTL,TATASTEEL,ICICIBANK
2016-10-28,ASIANPAINT,ICICIBANK,AXISBANK,TCS,BHARTIARTL,SBIN
2016-11-01,ASIANPAINT,DRREDDY,BAJAJ-AUTO,AXISBANK,HDFC,NESTLEIND
2016-11-02,ASIANPAINT,MARUTI,TATACONSUM,APOLLOHOSP,ULTRACEMCO,ADANIPORTS
2016-11-03,ASIANPAINT,TCS,TATACONSUM,JSWSTEEL,ITC,ONGC
2016-11-04,ASIANPAINT,JSWSTEEL,TCS,GRASIM,DRREDDY,TATACONSUM
2016-11-07,ASIANPAINT,JSWSTEEL,TCS,TATACONSUM,GRASIM,ULTRACEMCO
2016-11-08,ASIANPAINT,NTPC,JSWSTEEL,TCS,HCLTECH,BRITANNIA
2016-11-09,BAJFINANCE,CIPLA,KOTAKBANK,BHARTIARTL,HCLTECH,BAJAJ-AUTO
2016-11-10,BAJAJFINSV,TCS,NTPC,ASIANPAINT,BHARTIARTL,BAJFINANCE
2016-11-11,ASIANPAINT,SBIN,BAJAJFINSV,NTPC,POWERGRID,KOTAKBANK
2016-11-15,MARUTI,SBIN,EICHERMOT,UPL,NTPC,ULTRACEMCO
2016-11-16,BAJFINANCE,MARUTI,UPL,ULTRACEMCO,HINDALCO,TATACONSUM
2016-11-17,ULTRACEMCO,NTPC,TATACONSUM,BAJFINANCE,APOLLOHOSP,ASIANPAINT
2016-11-18,SBIN,ULTRACEMCO,BRITANNIA,NTPC,ADANIPORTS,BAJFINANCE
2016-11-21,BRITANNIA,ADANIPORTS,MARUTI,GRASIM,ULTRACEMCO,ASIANPAINT
2016-11-22,BAJFINANCE,BRITANNIA,MARUTI,ITC,GRASIM,TATASTEEL
2016-11-23,MARUTI,ULTRACEMCO,BAJFINANCE,EICHERMOT,GRASIM,DRREDDY
2016-11-24,HDFCBANK,M&M,ITC,ULTRACEMCO,EICHERMOT,MARUTI
2016-11-25,ITC,EICHERMOT,TATACONSUM,ADANIPORTS,DIVISLAB,ULTRACEMCO
2016-11-28,TATACONSUM,SHREECEM,EICHERMOT,M&M,ITC,NESTLEIND
2016-11-29,ITC,M&M,MARUTI,EICHERMOT,ICICIBANK,TATACONSUM
2016-11-30,JSWSTEEL,ITC,KOTAKBANK,ONGC,TITAN,TATACONSUM
2016-12-01,TECHM,BHARTIARTL,APOLLOHOSP,HCLTECH,CIPLA,ITC
2016-12-02,BPCL,DRREDDY,INDUSINDBK,M&M,TATAMOTORS,TATASTEEL
2016-12-05,ONGC,TECHM,KOTAKBANK,BHARTIARTL,TATACONSUM,NESTLEIND
2016-12-06,NTPC,KOTAKBANK,TECHM,RELIANCE,INDUSINDBK,TATASTEEL
2016-12-07,SUNPHARMA,TATACONSUM,RELIANCE,TATASTEEL,BAJAJ-AUTO,KOTAKBANK
2016-12-08,DIVISLAB,DRREDDY,KOTAKBANK,HDFC,NTPC,TATASTEEL
2016-12-09,NTPC,HDFC,HCLTECH,HEROMOTOCO,NESTLEIND,BRITANNIA
2016-12-12,HCLTECH,INFY,RELIANCE,BPCL,CIPLA,HINDALCO
2016-12-13,BPCL,ICICIBANK,HINDALCO,ITC,CIPLA,HEROMOTOCO
2016-12-14,BPCL,ONGC,POWERGRID,HDFC,DRREDDY,CIPLA
2016-12-15,APOLLOHOSP,BAJFINANCE,EICHERMOT,BPCL,MARUTI,RELIANCE
2016-12-16,EICHERMOT,BHARTIARTL,M&M,BAJFINANCE,RELIANCE,CIPLA
2016-12-19,TECHM,SHREECEM,BAJAJ-AUTO,EICHERMOT,AXISBANK,TATAMOTORS
2016-12-20,RELIANCE,SBIN,UPL,ULTRACEMCO,APOLLOHOSP,BRITANNIA
2016-12-21,BAJFINANCE,BHARTIARTL,KOTAKBANK,HINDUNILVR,ASIANPAINT,ULTRACEMCO
2016-12-22,BAJFINANCE,RELIANCE,HINDUNILVR,TECHM,ITC,HCLTECH
2016-12-23,BAJFINANCE,SBIN,TATASTEEL,HINDUNILVR,TATACONSUM,M&M
2016-12-26,HINDUNILVR,BAJFINANCE,UPL,TATASTEEL,SBIN,TECHM
2016-12-27,HINDUNILVR,SBIN,UPL,ULTRACEMCO,TATASTEEL,EICHERMOT
2016-12-28,HINDUNILVR,UPL,SBIN,EICHERMOT,TCS,ONGC
2016-12-29,HINDUNILVR,UPL,TATASTEEL,TECHM,TATAMOTORS,KOTAKBANK
2016-12-30,HINDUNILVR,BHARTIARTL,HEROMOTOCO,RELIANCE,TATAMOTORS,ITC
