2013-08-16,JSWSTEEL,BAJFINANCE,BAJAJFINSV,TATASTEEL,BHARTIARTL
2013-08-19,ASIANPAINT,BRITANNIA,BAJFINANCE,TECHM,TATACONSUM
2013-08-20,ASIANPAINT,GRASIM,BHARTIARTL,TCS,EICHERMOT
2013-08-21,JSWSTEEL,ITC,ASIANPAINT,TITAN,M&M
2013-08-22,ONGC,M&M,EICHERMOT,SUNPHARMA,TITAN
2013-08-23,HDFC,SBIN,WIPRO,ADANIPORTS,ASIANPAINT
2013-08-26,ICICIBANK,ONGC,BAJAJFINSV,JSWSTEEL,ITC
2013-08-27,TECHM,ONGC,ITC,LT,SHREECEM
2013-08-28,AXISBANK,ADANIPORTS,HCLTECH,TATASTEEL,DRREDDY
2013-08-29,HINDALCO,ULTRACEMCO,TECHM,BAJFINANCE,HINDUNILVR
2013-08-30,BAJAJFINSV,UPL,BHARTIARTL,ONGC,JSWSTEEL
2013-09-02,AXISBANK,BAJAJFINSV,APOLLOHOSP,KOTAKBANK,ONGC
2013-09-03,TATACONSUM,JSWSTEEL,LT,ICICIBANK,GRASIM
2013-09-04,SBIN,ONGC,AXISBANK,M&M,APOLLOHOSP
2013-09-05,BHARTIARTL,HINDALCO,HDFC,HDFCBANK,MARUTI
2013-09-06,AXISBANK,GRASIM,JSWSTEEL,BHARTIARTL,UPL
2013-09-10,LT,HCLTECH,ADANIPORTS,DRREDDY,HINDUNILVR
2013-09-11,TATASTEEL,DRREDDY,HINDUNILVR,JSWSTEEL,CIPLA
2013-09-12,HINDALCO,RELIANCE,HDFC,INFY,SHREECEM
2013-09-13,ADANIPORTS,POWERGRID,CIPLA,ITC,HCLTECH
2013-09-16,TECHM,POWERGRID,RELIANCE,BPCL,MARUTI
2013-09-17,TECHM,NTPC,TATASTEEL,HCLTECH,DRREDDY
2013-09-18,KOTAKBANK,HDFCBANK,TATACONSUM,GRASIM,TATASTEEL
2013-09-19,CIPLA,KOTAKBANK,BAJAJ-AUTO,ASIANPAINT,HDFC
2013-09-20,HINDALCO,TCS,ITC,SUNPHARMA,BAJFINANCE
2013-09-23,DRREDDY,WIPRO,LT,BAJFINANCE,RELIANCE
2013-09-24,DRREDDY,UPL,BRITANNIA,CIPLA,EICHERMOT
2013-09-25,SHREECEM,AXISBANK,TATACONSUM,KOTAKBANK,BHARTIARTL
2013-09-26,SUNPHARMA,GRASIM,ICICIBANK,NTPC,BHARTIARTL
2013-09-27,TATACONSUM,EICHERMOT,BPCL,INFY,HINDALCO
2013-09-30,EICHERMOT,AXISBANK,BAJAJ-AUTO,INFY,HDFCBANK
2013-10-01,BPCL,BAJAJ-AUTO,DRREDDY,CIPLA,HINDUNILVR
2013-10-03,BAJAJ-AUTO,TATACONSUM,DRREDDY,ADANIPORTS,ULTRACEMCO
2013-10-04,HCLTECH,HINDALCO,TCS,ADANIPORTS,DRREDDY
2013-10-07,EICHERMOT,WIPRO,INFY,NTPC,DIVISLAB
2013-10-08,DRREDDY,TCS,ITC,BAJAJ-AUTO,CIPLA
2013-10-09,DRREDDY,GRASIM,WIPRO,ASIANPAINT,BPCL
2013-10-10,BHARTIARTL,DRREDDY,TATACONSUM,SBIN,ULTRACEMCO
2013-10-11,TITAN,BHARTIARTL,HCLTECH,BAJFINANCE,BPCL
2013-10-14,EICHERMOT,BAJAJ-AUTO,SHREECEM,DRREDDY,HDFCBANK
2013-10-15,APOLLOHOSP,DRREDDY,BAJAJ-AUTO,RELIANCE,POWERGRID
2013-10-17,BPCL,JSWSTEEL,ADANIPORTS,BAJAJ-AUTO,UPL
2013-10-18,BHARTIARTL,ADANIPORTS,JSWSTEEL,HINDALCO,BAJAJ-AUTO
2013-10-21,SUNPHARMA,TATASTEEL,HINDALCO,TECHM,WIPRO
2013-10-22,TECHM,NTPC,APOLLOHOSP,INDUSINDBK,DRREDDY
2013-10-23,ULTRACEMCO,UPL,DRREDDY,TCS,SUNPHARMA
2013-10-24,ULTRACEMCO,SBIN,RELIANCE,ICICIBANK,SHREECEM
2013-10-25,UPL,SHREECEM,HINDUNILVR,BHARTIARTL,MARUTI
2013-10-28,NTPC,UPL,EICHERMOT,HINDUNILVR,TITAN
2013-10-29,INDUSINDBK,NTPC,MARUTI,BRITANNIA,HEROMOTOCO
2013-10-30,DRREDDY,TATACONSUM,ONGC,BAJAJFINSV,EICHERMOT
2013-10-31,HEROMOTOCO,UPL,TATACONSUM,INDUSINDBK,RELIANCE
2013-11-01,AXISBANK,EICHERMOT,TATACONSUM,NTPC,POWERGRID
2013-11-05,BRITANNIA,HINDALCO,GRASIM,HDFCBANK,HDFC
2013-11-06,BPCL,EICHERMOT,RELIANCE,HINDUNILVR,HDFCBANK
2013-11-07,JSWSTEEL,BAJAJFINSV,BAJFINANCE,AXISBANK,ADANIPORTS
2013-11-08,ASIANPAINT,HINDUNILVR,SBIN,M&M,MARUTI
2013-11-11,ADANIPORTS,BAJFINANCE,ULTRACEMCO,ITC,ICICIBANK
2013-11-12,NESTLEIND,INDUSINDBK,MARUTI,BRITANNIA,BAJAJFINSV
2013-11-13,AXISBANK,ULTRACEMCO,BAJFINANCE,KOTAKBANK,TATACONSUM
2013-11-14,TATAMOTORS,BAJAJFINSV,ULTRACEMCO,EICHERMOT,DRREDDY
2013-11-18,TCS,ULTRACEMCO,DRREDDY,MARUTI,KOTAKBANK
2013-11-19,ULTRACEMCO,DRREDDY,ICICIBANK,WIPRO,BAJAJFINSV
2013-11-20,EICHERMOT,M&M,HINDALCO,BAJAJFINSV,DRREDDY
2013-11-21,ADANIPORTS,AXISBANK,JSWSTEEL,NESTLEIND,BAJAJFINSV
2013-11-22,M&M,SHREECEM,MARUTI,HINDUNILVR,DIVISLAB
2013-11-25,TCS,HINDUNILVR,M&M,BAJFINANCE,NESTLEIND
2013-11-26,JSWSTEEL,ULTRACEMCO,BAJFINANCE,NTPC,MARUTI
2013-11-27,JSWSTEEL,ADANIPORTS,M&M,AXISBANK,NTPC
2013-11-28,HDFCBANK,TCS,LT,HINDALCO,KOTAKBANK
2013-11-29,KOTAKBANK,LT,DIVISLAB,HINDALCO,SBIN
2013-12-02,JSWSTEEL,BAJAJ-AUTO,INDUSINDBK,MARUTI,HDFCBANK
2013-12-03,INDUSINDBK,DRREDDY,WIPRO,M&M,BAJAJ-AUTO
2013-12-04,ADANIPORTS,M&M,ONGC,HINDUNILVR,JSWSTEEL
