2019-09-11,INDUSINDBK,DIVISLAB,HDFC,TATASTEEL,WIPRO
2019-09-12,INDUSINDBK,HDFC,TECHM,BAJAJFINSV,MARUTI
2019-09-13,NTPC,HEROMOTOCO,INDUSINDBK,LT,HDFC
2019-09-16,POWERGRID,LT,DIVISLAB,HEROMOTOCO,HDFC
2019-09-17,HEROMOTOCO,HDFC,ICICIBANK,APOLLOHOSP,KOTAKBANK
2019-09-18,INDUSINDBK,BRITANNIA,DRREDDY,POWERGRID,ADANIPORTS
2019-09-19,DRREDDY,NTPC,INDUSINDBK,ULTRACEMCO,ICICIBANK
2019-09-20,DRREDDY,TECHM,BAJAJ-AUTO,POWERGRID,BHARTIARTL
2019-09-23,INDUSINDBK,TECHM,POWERGRID,DIVISLAB,NTPC
2019-09-24,POWERGRID,JSWSTEEL,HCLTECH,TATASTEEL,M&M
2019-09-25,ADANIPORTS,DRREDDY,BAJAJ-AUTO,HINDUNILVR,ULTRACEMCO
2019-09-26,ADANIPORTS,NTPC,AXISBANK,KOTAKBANK,HINDALCO
2019-09-27,TECHM,HDFC,ITC,WIPRO,POWERGRID
2019-09-30,HEROMOTOCO,ADANIPORTS,BRITANNIA,DRREDDY,CIPLA
2019-10-01,SBIN,DRREDDY,BRITANNIA,APOLLOHOSP,HDFC
2019-10-03,SHREECEM,RELIANCE,BAJFINANCE,LT,BAJAJFINSV
2019-10-04,HDFC,ASIANPAINT,DRREDDY,BRITANNIA,AXISBANK
2019-10-07,ASIANPAINT,BAJFINANCE,HDFC,BAJAJFINSV,KOTAKBANK
2019-10-09,ASIANPAINT,RELIANCE,HCLTECH,SHREECEM,TECHM
2019-10-10,BAJFINANCE,TECHM,NTPC,ULTRACEMCO,HDFC
2019-10-11,TATASTEEL,BAJFINANCE,HCLTECH,WIPRO,TECHM
2019-10-14,ULTRACEMCO,INDUSINDBK,BAJFINANCE,BAJAJ-AUTO,MARUTI
2019-10-15,ULTRACEMCO,NESTLEIND,DIVISLAB,POWERGRID,INDUSINDBK
2019-10-16,NESTLEIND,DIVISLAB,BPCL,TECHM,POWERGRID
2019-10-17,ULTRACEMCO,BAJAJ-AUTO,AXISBANK,TECHM,TATASTEEL
2019-10-18,INDUSINDBK,KOTAKBANK,POWERGRID,TECHM,DIVISLAB
2019-10-22,INDUSINDBK,TECHM,TATACONSUM,POWERGRID,HCLTECH
2019-10-23,INDUSINDBK,TECHM,MARUTI,ASIANPAINT,NESTLEIND
2019-10-24,INDUSINDBK,DIVISLAB,TCS,BPCL,APOLLOHOSP
2019-10-25,DRREDDY,KOTAKBANK,AXISBANK,INDUSINDBK,BPCL
2019-10-27,DRREDDY,TCS,ULTRACEMCO,BAJFINANCE,BPCL
2019-10-29,DIVISLAB,HDFC,ASIANPAINT,AXISBANK,BAJAJ-AUTO
2019-10-30,DIVISLAB,NTPC,ADANIPORTS,KOTAKBANK,ITC
2019-10-31,WIPRO,NTPC,TATACONSUM,POWERGRID,HDFC
2019-11-01,DRREDDY,HDFC,BHARTIARTL,DIVISLAB,KOTAKBANK
